day,plant-id,total_fresh_weight_g,baseline_g,carbon_dioxide,temp_env,humidity,pressure,electrical_conductivity,volume,temp_nutr,volume_flow_rate
20.0,3.0,119.0,25.22,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407
24.0,5.0,149.0,25.22,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305
24.0,6.0,151.0,25.22,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305
24.0,7.0,161.0,25.22,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305
24.0,1.0,161.0,25.22,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305
24.0,8.0,163.0,25.22,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305
24.0,4.0,166.0,25.22,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305
24.0,10.0,167.0,25.22,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305
24.0,9.0,178.0,25.22,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305
24.0,2.0,179.0,25.22,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305
24.0,3.0,183.0,25.22,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305
28.0,5.0,211.0,25.22,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508
28.0,6.0,221.0,25.22,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508
28.0,1.0,239.0,25.22,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508
28.0,8.0,240.0,25.22,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508
28.0,7.0,244.0,25.22,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508
28.0,10.0,246.0,25.22,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508
28.0,4.0,246.0,25.22,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508
28.0,9.0,248.0,25.22,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508
28.0,2.0,243.0,25.22,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508
28.0,3.0,258.0,25.22,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508
